distance,weight,speed,traffic,weather,eta
1336,28572,81,1,1,17.193827160493825
135,6288,70,1,2,3.0285714285714285
1701,5187,55,4,4,33.72727272727273
1806,22443,54,3,1,34.74444444444444
1045,10283,65,2,1,17.076923076923077
741,7252,87,1,4,10.417241379310346
585,24808,80,3,3,9.412500000000001
1981,21494,55,1,4,37.918181818181814
1793,9755,79,4,3,25.096202531645567
1027,14250,85,4,3,14.482352941176469
1622,6622,79,2,4,22.731645569620255
1667,4329,82,3,2,22.029268292682925
200,14763,73,1,2,3.83972602739726
1972,22133,51,2,4,40.86666666666667
242,5323,60,4,2,6.033333333333333
1378,4858,69,4,2,21.971014492753625
765,27898,69,2,3,12.88695652173913
1161,14634,53,1,1,22.60566037735849
1083,13297,65,2,3,18.461538461538463
799,2732,82,2,1,10.74390243902439
1221,11682,70,1,1,18.142857142857142
718,4436,58,1,2,13.479310344827587
53,17314,64,3,2,2.528125
1042,3777,76,1,1,14.410526315789475
631,20699,69,3,2,10.844927536231886
1427,11936,79,4,1,19.663291139240503
1852,21090,89,1,4,22.708988764044946
1615,2250,50,3,2,33.99999999999999
1301,20243,87,1,3,16.45402298850575
337,22248,73,3,1,5.9164383561643845
321,18538,81,2,3,5.762962962962963
1246,18255,71,1,3,19.049295774647888
1759,20817,72,3,4,26.930555555555557
577,2758,64,2,4,11.215625
1055,14376,66,1,4,17.884848484848487
1220,1835,58,4,2,23.03448275862069
1464,21356,55,4,4,29.418181818181818
1475,18370,88,3,2,18.461363636363636
1511,15114,73,2,1,21.698630136986303
1221,4485,60,1,2,21.450000000000003
507,21731,61,4,1,9.911475409836065
74,14206,71,2,4,3.2422535211267607
1305,2976,75,4,1,18.999999999999996
245,6332,83,1,4,4.851807228915662
449,15510,64,3,1,8.315625
1831,21554,74,4,3,27.14324324324324
1354,16655,73,3,1,19.847945205479448
706,29187,87,1,2,9.214942528735634
312,25250,66,4,2,6.7272727272727275
1567,2490,71,4,4,24.87042253521127
513,6214,75,2,2,8.24
752,7593,52,4,3,16.861538461538462
505,25536,60,2,4,10.616666666666665
585,9941,88,4,4,9.447727272727272
1275,7864,62,3,2,22.26451612903226
1579,18739,59,3,2,28.462711864406778
1692,28406,61,1,3,29.237704918032787
1396,13049,63,4,4,24.95873015873016
1172,28853,81,2,3,16.269135802469137
1880,15249,61,2,2,32.21967213114754
641,8672,89,2,3,9.002247191011236
1693,6300,76,1,1,22.976315789473684
1979,16058,75,2,3,28.186666666666667
397,5591,76,3,3,7.323684210526316
1404,14057,71,2,1,20.774647887323944
1785,11472,63,2,1,29.333333333333332
1887,10051,70,2,2,28.357142857142858
1270,18552,67,4,2,20.955223880597014
958,18060,73,4,4,15.923287671232876
827,4578,62,1,1,14.038709677419355
445,9887,80,2,2,6.9624999999999995
625,18709,81,4,4,10.516049382716048
1209,21648,59,1,1,21.191525423728812
1718,16802,71,3,2,25.897183098591547
1826,3777,66,2,3,29.46666666666667
1511,3542,69,1,3,23.39855072463768
1782,11066,78,1,1,23.546153846153846
1220,14116,50,3,4,26.9
846,16104,58,4,3,16.986206896551725
1265,18568,70,3,4,20.571428571428573
1481,15344,82,1,2,19.1609756097561
1642,20340,76,4,3,24.005263157894735
1306,29274,54,4,1,25.785185185185185
1696,1007,52,1,3,34.11538461538461
1984,11637,60,2,4,35.26666666666667
1890,9130,82,2,4,25.24878048780488
886,22221,89,2,3,11.75505617977528
1174,29256,70,4,4,19.571428571428573
867,9254,88,3,2,11.552272727272728
510,4685,66,4,4,10.527272727272727
331,24853,64,3,3,7.2718750000000005
1308,1438,54,1,4,26.122222222222224
500,24258,57,4,4,11.571929824561403
808,8939,87,2,3,11.087356321839081
551,29256,64,4,2,10.609375
712,17161,80,4,4,11.7
1766,11572,69,1,2,26.694202898550728
1246,12061,77,3,4,18.681818181818183
1855,11023,68,1,3,28.779411764705884
139,27190,82,2,3,3.495121951219512
1270,4398,60,3,3,23.266666666666666
401,1390,61,2,1,7.573770491803279
1339,2509,63,2,2,22.653968253968255
835,11602,88,2,1,10.488636363636363
1834,21840,73,4,1,26.723287671232875
932,11376,84,3,3,13.195238095238096
1903,6553,57,3,4,35.8859649122807
1744,12985,85,4,1,22.11764705882353
1555,9788,79,1,4,21.58354430379747
1821,15223,78,2,4,25.54615384615385
243,7817,81,1,3,4.5
572,13038,74,1,4,9.62972972972973
1291,20257,80,3,4,18.6375
1579,17047,53,2,1,30.79245283018868
890,25952,59,2,2,16.484745762711864
1590,26661,58,3,2,29.113793103448277
1246,27169,59,1,4,23.01864406779661
344,16172,74,1,3,6.148648648648648
279,2639,80,2,3,5.2875
380,29977,56,3,1,8.085714285714285
374,1817,74,3,2,6.754054054054055
565,24485,84,4,1,8.326190476190476
655,1913,85,2,1,8.705882352941178
897,21330,78,1,3,13.0
1212,5258,81,4,2,16.962962962962965
1255,9592,89,1,2,15.201123595505619
389,1272,68,4,2,7.720588235294118
1228,13475,74,2,4,18.794594594594596
1647,29016,54,2,2,31.900000000000002
1112,21934,77,3,2,16.14155844155844
1399,11607,69,4,1,21.875362318840576
1770,3229,75,2,4,25.800000000000004
99,1916,71,4,2,3.394366197183098
458,19594,50,1,4,11.06
1478,19537,82,1,2,19.12439024390244
1737,26576,80,1,1,22.412499999999998
154,18142,67,2,4,4.498507462686567
1446,19145,61,2,2,25.104918032786887
950,6613,82,3,4,14.085365853658537
52,20387,89,4,1,2.184269662921348
670,6509,63,3,1,11.934920634920635
604,1100,82,3,2,9.065853658536586
344,5804,50,2,3,8.68
396,5403,73,4,4,8.224657534246576
157,13002,56,1,3,4.303571428571429
160,6547,86,4,2,3.8604651162790695
534,1776,75,3,2,8.82
405,9500,80,1,4,6.9625
330,16850,64,4,3,7.55625
763,3640,59,3,4,15.432203389830509
158,29900,55,3,2,4.572727272727272
94,13313,53,1,1,2.473584905660377
89,23277,52,2,4,3.9115384615384614
1193,15659,71,4,1,18.40281690140845
1001,24605,75,3,4,15.846666666666666
1262,16646,82,2,3,17.190243902439025
1983,26157,82,1,3,25.682926829268293
1908,28328,59,2,4,34.53898305084746
1012,25751,56,1,2,19.171428571428574
1806,16496,74,1,1,25.105405405405406
657,17841,63,2,4,12.628571428571428
1715,26382,56,1,1,31.325
86,25221,52,2,1,2.6538461538461537
373,2562,76,4,3,7.307894736842106
1847,4752,63,3,1,30.617460317460313
1765,25935,68,4,1,27.555882352941175
1462,24870,66,3,2,23.85151515151515
1492,2175,51,4,2,31.254901960784313
1173,22444,58,1,2,21.324137931034485
90,29949,51,1,3,3.264705882352941
906,6941,85,1,3,12.158823529411766
1956,3172,88,4,1,23.827272727272724
1310,11770,71,1,3,19.950704225352112
669,13935,52,1,3,14.365384615384617
215,6599,74,4,4,5.705405405405406
77,28279,84,3,4,3.4166666666666665
1352,3560,86,3,2,17.42093023255814
1513,19261,67,4,1,24.182089552238804
246,20222,53,3,3,6.741509433962265
1619,18053,59,1,4,29.340677966101698
51,23349,60,3,4,3.35
1299,1969,79,1,2,17.543037974683546
1309,19240,56,4,1,24.974999999999998
962,1039,80,4,1,13.625
363,22990,87,3,2,5.872413793103449
1900,12582,72,3,4,28.88888888888889
349,22107,82,3,2,5.95609756097561
911,14649,60,4,3,17.583333333333332
92,7872,66,2,1,2.393939393939394
1666,11915,72,3,1,24.438888888888886
222,15897,53,2,2,5.588679245283019
1591,21514,73,3,2,23.494520547945204
154,19850,51,4,1,4.619607843137255
1078,2640,67,4,3,18.48955223880597
284,11290,73,2,4,6.09041095890411
998,21303,50,2,1,20.96
808,2146,75,4,1,12.373333333333333
1875,5879,87,1,3,23.051724137931036
654,17567,68,2,1,10.617647058823529
1674,20211,77,2,2,23.140259740259744
550,14362,71,2,1,8.746478873239438
1335,4146,89,2,2,16.4
1298,11002,85,2,2,16.67058823529412
60,2198,74,1,1,1.5108108108108107
1849,2880,76,4,2,26.32894736842105
190,27181,75,2,3,4.333333333333334
891,11184,62,3,3,16.470967741935485
1153,25484,73,1,4,17.694520547945206
140,6457,67,3,2,3.78955223880597
861,3573,73,4,1,13.394520547945206
111,17423,88,2,4,3.4613636363636364
513,6120,78,3,3,8.676923076923078
1140,20565,77,4,1,16.405194805194803
1976,7967,85,2,2,24.647058823529413
471,7649,56,1,4,10.310714285714287
102,13292,80,4,3,3.675
1732,1109,64,1,2,28.1625
72,18280,51,2,1,2.411764705882353
1950,12767,57,1,4,36.11052631578947
1170,22110,60,1,2,20.6
574,17840,89,3,4,8.94943820224719
1576,28093,85,1,2,19.64117647058824
931,4751,53,4,4,20.36603773584906
86,3158,80,4,2,3.075
735,6564,84,1,3,10.25
1614,22968,66,4,2,26.454545454545453
431,1378,86,4,2,7.011627906976744
1130,15548,61,1,1,19.224590163934426
94,26552,55,2,3,3.5090909090909093
919,27750,87,2,3,12.363218390804597
1105,3130,77,2,4,16.55064935064935
1608,18576,73,3,3,24.12739726027397
1440,8032,58,3,2,26.52758620689655
1771,4648,72,1,3,26.09722222222222
1880,2514,80,3,1,24.799999999999997
198,20247,50,4,1,5.5600000000000005
551,8418,60,3,3,11.283333333333335
1898,21561,82,2,1,24.146341463414632
993,24831,83,2,1,12.963855421686747
1790,12886,85,3,3,23.158823529411762
1513,14904,82,4,2,20.451219512195124
571,20783,68,4,1,9.99705882352941
276,18321,75,4,3,6.08
1600,28951,71,3,1,23.83521126760563
1280,2968,63,3,3,22.417460317460314
966,20481,76,4,3,15.110526315789475
870,17106,55,1,1,16.518181818181816
509,22539,55,2,4,11.454545454545453
1404,1506,78,1,4,19.900000000000002
301,10499,65,1,4,6.530769230769231
1760,14254,61,1,2,29.952459016393444
156,19075,78,4,4,4.800000000000001
980,10382,68,1,2,15.511764705882355
893,6507,53,4,1,18.44905660377358
